Publication Type,Authors,Article Title,Source Title,Publication Year,Author Keywords,Abstract,WoS Categories,Research Areas,Open Access,Satellite,Application,Domain,Title_lower,ML Technique,Complex,Accuracy (%),F1-score (%),Precision (%),Recall (%),Producer accuracy (%),User accuracy (%),Pixel accuracy,Kappa (%),IoU (%),MIoU (%),Dice (%),R-squared,RMSE,MAE,Parameter
J,Chen G.; Pei Q.; Kamruzzaman M.M.,Remote sensing image quality evaluation based on deep support value learning networks,Signal Processing: Image Communication,2020,3D convolutional neural networks; Deep support value learning networks; Feature extraction; Remote sensing image,"Aiming at the problem that the remote sensing image quality evaluation models with manually extracted features lack robustness and generality, this paper proposes a 3D CNN-based architecture and nuclear power plant for accurate remote sensing image quality assessment. The model incorporates two sub-networks. The DSVL-based sub-network is employed to extract multi-scale, multi-direction and high-level features by layer-wise training. Afterwards, the extracted feature maps are fused as flowed as input data of the second sub-network, which is designed with 3D CNN architecture and nuclear power plant for remote sensing image quality assessment. Experimental results on remote sensing image quality database from the GeoEye-1 and WorldView-2 satellites show that the proposed model can optimally discover the essential features of the image and effectively extract the high-frequency information of each level of image, and has better overall quality assessment performance than the other state-of-the-art methods. Â© 2020 Elsevier B.V.",Article,,no,"GeoEye-1, WorldView-2",Image quality evaluation,Others,remote sensing image quality evaluation based on deep support value learning networks,Regression,yes,,,,,,,,,,,,,,,
J,"Dorr, F",Satellite Image Multi-Frame Super Resolution Using 3D Wide-Activation Neural Networks,REMOTE SENSING,2020,multi-frame super resolution; wide activation super resolution; 3D convolutional neural network; deep learning,"The small satellite market continues to grow year after year. A compound annual growth rate of 17% is estimated during the period between 2020 and 2025. Low-cost satellites can send a vast amount of images to be post-processed at the ground to improve the quality and extract detailed information. In this domain lies the resolution enhancement task, where a low-resolution image is converted to a higher resolution automatically. Deep learning approaches to Super Resolution (SR) reached the state-of-the-art in multiple benchmarks; however, most of them were studied in a single-frame fashion. With satellite imagery, multi-frame images can be obtained at different conditions giving the possibility to add more information per image and improve the final analysis. In this context, we developed and applied to the PROBA-V dataset of multi-frame satellite images a model that recently topped the European Space Agency's Multi-frame Super Resolution (MFSR) competition. The model is based on proven methods that worked on 2D images tweaked to work on 3D: the Wide Activation Super Resolution (WDSR) family. We show that with a simple 3D CNN residual architecture with WDSR blocks and a frame permutation technique as the data augmentation, better scores can be achieved than with more complex models. Moreover, the model requires few hardware resources, both for training and evaluation, so it can be applied directly on a personal laptop.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,PROBA-V,Improvement of the satellite image quality,Others,satellite image multi-frame super resolution using 3d wide-activation neural networks,Image enhancement,yes,,,,,,,,,,,,,,,
J,"Song, Ahram; Choi, Jaewan",Fully Convolutional Networks with Multiscale 3D Filters and Transfer Learning for Change Detection in High Spatial Resolution Satellite Images,REMOTE SENSING,2020,multiscale three-dimensional filters; transfer learning; change detection; high spatial resolution satellite image; fully convolutional network; convolutional long short-term memory,"Remote sensing images having high spatial resolution are acquired, and large amounts of data are extracted from their region of interest. For processing these images, objects of various sizes, from very small neighborhoods to large regions composed of thousands of pixels, should be considered. To this end, this study proposes change detection method using transfer learning and recurrent fully convolutional networks with multiscale three-dimensional (3D) filters. The initial convolutional layer of the change detection network with multiscale 3D filters was designed to extract spatial and spectral features of materials having different sizes; the layer exploits pre-trained weights and biases of semantic segmentation network trained on an open benchmark dataset. The 3D filter sizes were defined in a specialized way to extract spatial and spectral information, and the optimal size of the filter was determined using highly accurate semantic segmentation results. To demonstrate the effectiveness of the proposed method, binary change detection was performed on images obtained from multi-temporal Korea multipurpose satellite-3A. Results revealed that the proposed method outperformed the traditional deep learning-based change detection methods and the change detection accuracy improved using multiscale 3D filters and transfer learning.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Kompsat-3A,Change detection,Urban,fully convolutional networks with multiscale 3d filters and transfer learning for change detection in high spatial resolution satellite images,Classification,yes,97.95,94.12,,,,,,92.88,,,,,,,
C,"Bergamasco, L; Bovolo, F; Bruzzone, L",A Novel Deep-Learning Data Structure for Multispectral Remote Sensing Images,IMAGE AND SIGNAL PROCESSING FOR REMOTE SENSING XXVI,2020,Spatial-spectral analysis; Deep-learning classification; Data-cube analysis; Convolutional Neural Network; Remote Sensing,"Standard deep-learning (DL) architectures do not optimize the use of the spatial and spectral information in the multi-spectral images but often consider only one of the two components. Two-stream DL architectures split and process them separately. However, the fusing of the output of the two streams is a challenging task. 3D-CNN processes spatial and spectral information together at the cost of a large number of parameters. To overcome these limitations, we propose a novel DL data structure that re-organizes the spectral and spatial information in remote-sensing (RS) images and process them together. Representing a RS image I as a data cube, we handle the spatial and spectral information by reducing the spectral bands from N to M, where M can drop out to one. The spectral information is projected in the spatial dimensions and re-organized in 2-dimensional B blocks. The proposed approach analyzes the spectral information of each block by using 2-dimensional convolutional kernels of appropriate size and stride. The output represents the relationship between the spectral bands of the input image and preserves the spatial relationship between its neighboring pixels. The spatial relationships are analyzed by processing the output of the previous layer with standard 2D-CNNs. Experiments by using images acquired by Sentinel-2 and Landsat-8 data and the labels of the LUCAS database released in 2018 provide promising results.",Remote Sensing; Optics; Imaging Science & Photographic Technology,Remote Sensing; Optics; Imaging Science & Photographic Technology,no,"Sentinel-2, Landsat-8",Land-use and land-cover,Vegetation,a novel deep-learning data structure for multispectral remote sensing images,Classification,yes,,,,,,,,,,,,,,,
C,M. S. Aydemir; A. N. Keyik; F. Kahraman; E. Aptoula,Land Cover Map Production of the Sakarya Basin from Multi-Temporal Satellite Images,2020 28th Signal Processing and Communications Applications Conference (SIU),2020,Remote sensing;convolutional neural networks;land cover;land use;CORINE,"The proliferation of multi-temporal remote sensing imagery, especially through Sentinel 2 satellites, has reinforced efforts towards the processing of multi-spectral and multi-temporal images. In this paper, we present the results of our study on the production of land cover/land use of the Sakarya basin, employing CORINE ground truths. The main contribution of our study is the exploitation of the temporal dimension through 3 dimensional convolutional neural networks, motivated by their capacity to process data across the temporal dimension of the input patch cube. Our experiments spanning 26 classes at a region-wide scale, show that 3D convolutional neural networks possess a strong potential in this regard.",IEEE Conferences,,yes,Sentinel-2,Land Cover Map,Vegetation,land cover map production of the sakarya basin from multi-temporal satellite images,Classification,yes,86.32,,,,,,,75.54,,,,,,,
C,Ä°. YÄ±lmaz; M. Ä°mamoÄŸlu; G. Ã–zbulak; F. Kahraman; E. Aptoula,Large Scale Crop Classification from Multi-temporal and Multi-spectral Satellite Images,2020 28th Signal Processing and Communications Applications Conference (SIU),2020,crop classification;remote sensing;deep learning;random forest,"Crop classification is one of the foremost and most challenging applications of remote sensing. Crops exhibit both high intra-class variance across geographical locations, as well as low inter-class variance especially across seasons. As such, they require both spectral and temporal input, both of which are provided by the Sentinel 2 satellites. In this paper, we present the preliminary results of our multispectral and multitemporal crop classification analysis, on a region-wide scale, encompassing multiple climatological conditions and a high number of crop types. We have experimented using the ground-truth provided by the Farmer Registration System, with both well-known spectral and spatial shallow features and classifiers, at both pixel and field level, as well as with state of the art 3D convolutional neural networks. Our results show that Sentinel 2 imagery exhibit a strong potential as input for a systematic crop classification infrastructure.",IEEE Conferences,,yes,Sentinel-2,Crop classification,Agriculture,large scale crop classification from multi-temporal and multi-spectral satellite images,Classification,yes,72.7,,,,,,,68.3,,,,,,,
J,"Ji, SP; Zhang, ZL; Zhang, C; Wei, SQ; Lu, M; Duan, YL",Learning discriminative spatiotemporal features for precise crop classification from multi-temporal satellite images,INTERNATIONAL JOURNAL OF REMOTE SENSING,2020,,"Precise crop classification from multi-temporal remote sensing images has important applications such as yield estimation and food transportation planning. However, the mainstream convolutional neural networks based on 2D convolution collapse the time series information. In this study, a 3D fully convolutional neural network (FCN) embedded with a global pooling module and channel attention modules is proposed to extract discriminative spatiotemporal presentations of different types of crops from multi-temporal high-resolution satellite images. Firstly, a novel 3D FCN structure is introduced to replace 2D FCNs as well as to improve current 3D convolutional neural networks (CNNs) by providing a mean to learn distinctive spatiotemporal representations of each crop type from the reshaped multi-temporal images. Secondly, to strengthen the learning significance of the spatiotemporal representations, our approach includes 3D channel attention modules, which regulate the between-channel consistency of the features from the encoder and the decoder, and a 3D global pooling module, which selects the most distinctive features at the top of the encoder. Experiments were conducted using two data sets with different types of crops and time spans. Our results show that our method outperformed in both accuracy and efficiency, several mainstream 2D FCNs as well as a recent 3D CNN designed for crop classification. The experimental data and source code are made openly available at http://study.rsgis.whu.edu.cn/pages/download/..",Remote Sensing; Imaging Science & Photographic Technology,Remote Sensing; Imaging Science & Photographic Technology,no,Gaofen-2,Crop classification,Agriculture,learning discriminative spatiotemporal features for precise crop classification from multi-temporal satellite images,Classification,yes,,,,,,,,,,,,,,,
J,"Zhang, WC; Liu, HB; Wu, W; Zhan, LQ; Wei, J",Mapping Rice Paddy Based on Machine Learning with Sentinel-2 Multi-Temporal Data: Model Comparison and Transferability,REMOTE SENSING,2020,rice; convolutional neural network; F1 score; sentinel-2; transfer,"Rice is an important agricultural crop in the Southwest Hilly Area, China, but there has been a lack of efficient and accurate monitoring methods in the region. Recently, convolutional neural networks (CNNs) have obtained considerable achievements in the remote sensing community. However, it has not been widely used in mapping a rice paddy, and most studies lack the comparison of classification effectiveness and efficiency between CNNs and other classic machine learning models and their transferability. This study aims to develop various machine learning classification models with remote sensing data for comparing the local accuracy of classifiers and evaluating the transferability of pretrained classifiers. Therefore, two types of experiments were designed: local classification experiments and model transferability experiments. These experiments were conducted using cloud-free Sentinel-2 multi-temporal data in Banan District and Zhongxian County, typical hilly areas of Southwestern China. A pure pixel extraction algorithm was designed based on land-use vector data and a Google Earth Online image. Four convolutional neural network (CNN) algorithms (one-dimensional (Conv-1D), two-dimensional (Conv-2D) and three-dimensional (Conv-3D_1 and Conv-3D_2) convolutional neural networks) were developed and compared with four widely used classifiers (random forest (RF), extreme gradient boosting (XGBoost), support vector machine (SVM) and multilayer perceptron (MLP)). Recall, precision, overall accuracy (OA) and F1 score were applied to evaluate classification accuracy. The results showed that Conv-2D performed best in local classification experiments with OA of 93.14% and F1 score of 0.8552 in Banan District, OA of 92.53% and F1 score of 0.8399 in Zhongxian County. CNN-based models except Conv-1D provided more desirable performance than non-CNN classifiers. Besides, among the non-CNN classifiers, XGBoost received the best result with OA of 89.73% and F1 score of 0.7742 in Banan District, SVM received the best result with OA of 88.57% and F1 score of 0.7538 in Zhongxian County. In model transferability experiments, almost all CNN classifiers had low transferability. RF and XGBoost models have achieved acceptable F1 scores for transfer (RF = 0.6673 and 0.6469, XGBoost = 0.7171 and 0.6709, respectively).","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Mapping rice paddy,Vegetation,mapping rice paddy based on machine learning with sentinel-2 multi-temporal data: model comparison and transferability,Classification,no,91.57,83.21,81.75,84.72,,,,,,,,,,,
J,"Kalinicheva, E; Sublime, J; Trocan, M",Unsupervised Satellite Image Time Series Clustering Using Object-Based Approaches and 3D Convolutional Autoencoder,REMOTE SENSING,2020,satellite image time series; unsupervised learning; clustering; segmentation; 3D convolutional network; autoencoder,"Nowadays, satellite image time series (SITS) analysis has become an indispensable part of many research projects as the quantity of freely available remote sensed data increases every day. However, with the growing image resolution, pixel-level SITS analysis approaches have been replaced by more efficient ones leveraging object-based data representations. Unfortunately, the segmentation of a full time series may be a complicated task as some objects undergo important variations from one image to another and can also appear and disappear. In this paper, we propose an algorithm that performs both segmentation and clustering of SITS. It is achieved by using a compressed SITS representation obtained with a multi-view 3D convolutional autoencoder. First, a unique segmentation map is computed for the whole SITS. Then, the extracted spatio-temporal objects are clustered using their encoded descriptors. The proposed approach was evaluated on two real-life datasets and outperformed the state-of-the-art methods.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,"Sentinel-2, SPOT-5",Land cover classification,Vegetation,unsupervised satellite image time series clustering using object-based approaches and 3d convolutional autoencoder,Segmentation,yes,,,,,,,,,,,,,,,
J,"Jiang, ZC; Ma, Y",Accurate extraction of offshore raft aquaculture areas based on a 3D-CNN model,INTERNATIONAL JOURNAL OF REMOTE SENSING,2020,,"Offshore aquaculture plays an important role in China's marine fishery economy. The research on the extraction of offshore aquaculture areas based on remote sensing technology is of great significance for the regulation of offshore fishery resources and the protection of the marine ecological environment. This paper uses the Gaofen-2 series multispectral remote sensing image to extract the offshore aquaculture areas of Lianyungang City. We use the optimum index factor to extract the spectral features of the aquaculture areas and the grey-level co-occurrence matrix to extract their texture features. We use the Bhattacharyya distance to select the spatial and spectrum features and construct the characteristic data set of the aquaculture areas. In this paper, we propose a method to construct a uniform distributed disturbance term to optimize the cross entropy loss function. We employ it in the three-dimensional convolutional neural network (3D-CNN) model, extract the extended feature data set of aquaculture areas, and input it into the radial basis function support vector machine (RBF-SVM) classifier for classification. Within the study area of 150 km(2), the experimental results show that the extraction model has high extraction accuracy and strong spatial migration despite complex water backgrounds. The F-1-score values in the training area and the four random test areas were 0.939 or above for 2017 data. In addition, the extraction model also has stable time migration. We used the extraction model on remote sensing data for the same study area in 2018 and 2019. The F-1-scores for all test areas are 0.866 or higher. Therefore, the model proposed in this paper is suitable for the extraction of large-scale and multi-temporal offshore raft aquaculture areas from remote sensing images.",Remote Sensing; Imaging Science & Photographic Technology,Remote Sensing; Imaging Science & Photographic Technology,no,Gaofen-2,Extraction of offshore raft aquaculture areas based,Water,accurate extraction of offshore raft aquaculture areas based on a 3d-cnn model,Classification,yes,,86.6,,,,,,,,,,,,,
J,"Han, YL; Wei, C; Zhou, RY; Hong, ZH; Zhang, Y; Yang, SH",Combining 3D-CNN and Squeeze-and-Excitation Networks for Remote Sensing Sea Ice Image Classification,MATHEMATICAL PROBLEMS IN ENGINEERING,2020,,"Sea ice is one of the most prominent marine disasters in high latitudes. Remote sensing technology provides an effective means for sea ice detection. Remote sensing sea ice images contain rich spectral and spatial information. However, most traditional methods only focus on spectral information or spatial information, and do not excavate the feature of spectral and spatial simultaneously in remote sensing sea ice images classification. At the same time, the complex correlation characteristics among spectra and small sample problem in sea ice classification also limit the improvement of sea ice classification accuracy. For this issue, this paper proposes a new remote sensing sea ice image classification method based on squeeze-and-excitation (SE) network, convolutional neural network (CNN), and support vector machines (SVMs). The proposed method designs 3D-CNN deep network so as to fully exploit the spatial-spectrum features of remote sensing sea ice images and integrates SE-Block into 3D-CNN in-depth network in order to distinguish the contributions of different spectra to sea ice classification. According to the different contributions of spectral features, the weight of each spectral feature is optimized by fusing SE-Block in order to further enhance the sample quality. Finally, information-rich and representative samples are chosen by combining the idea of active learning and input into SVM classifier, and this achieves superior classification accuracy of remote sensing sea ice images with small samples. In order to verify the effectiveness of the proposed method, we conducted experiments on three different data from Baffin Bay, Bohai Bay, and Liaodong Bay. The experimental results show that compared with other classical classification methods, the proposed method comprehensively considers the correlation among spectral features and the small samples problems and deeply excavates the spatial-spectrum characteristics of sea ice and achieves better classification performance, which can be effectively applied to remote sensing sea ice image classification.","Engineering, Multidisciplinary; Mathematics, Interdisciplinary Applications",Engineering; Mathematics,yes,Landsat-8,Sea Ice image classification,Water,combining 3d-cnn and squeeze-and-excitation networks for remote sensing sea ice image classification,Classification,yes,91.69,,,,,,,,,,,,,,
J,"Wang, L; Wu, YX; Xu, JP; Zhang, HY; Wang, XY; Yu, JB; Sun, Q; Zhao, ZY",STATUS PREDICTION BY 3D FRACTAL NET CNN BASED ON REMOTE SENSING IMAGES,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,2020,Fractal Net; 3D CNN; Status Prediction; Remote Sensing Images; Eutrophication,"The contradiction between the supply and demand of water resources is becoming increasingly prominent, whose main reason is the eutrophication of rivers and lakes. However, limited and inaccurate data makes it impossible to establish a precise model to successfully predict eutrophication levels. Moreover, it is incompetent to distinguish the degree of eutrophication status of lakes by manual calculation and processing. Focusing on these inconveniences, this study proposes 3D fractal net CNN to extract features in remote sensing images automatically, aiming at achieving scientific forecasting on eutrophication status of lakes. In order to certificate the effectiveness of the proposed method, we predict the state of the water body based on remote sensing images of natural lake. The images in natural lake were accessed by MODIS satellite, cloud-free chlorophyll inversion picture of 2009 was resized into 273 x 273 patches, which were collected as training and testing samples. In the total of 162 pictures, our study makes three consecutive pictures as a set of data so as to attain 120 group of training and 40 testing data. Taking one set of data as input of the neural network and the next day's eutrophication level as labels, CNNs act considerable efficiency. Through the experimental results of 2D CNN, 3D CNN and 3D fractal net CNN, 3D fractal net CNN has more outstanding performance than the other two, with the prediction accuracy of 67.5% better than 47.5% and 62.5%, respectively.","Mathematics, Interdisciplinary Applications; Multidisciplinary Sciences",Mathematics; Science & Technology - Other Topics,yes,MODIS,Eutrophication status of lakes,Water,status prediction by 3d fractal net cnn based on remote sensing images,Classification,no,62.5,,,,,,,,,,,,,,
J,Zhang Q.; Yuan Q.; Li Z.; Sun F.; Zhang L.,Combined deep prior with low-rank tensor SVD for thick cloud removal in multitemporal images,ISPRS Journal of Photogrammetry and Remote Sensing,2021,Deep prior; Low-rank tensor SVD; Multitemporal images; Spatio-temporal; Thick cloud removal,"The thick cloud coverage phenomenon severely disturbs optical satellite observation missions (covering approximately 40â€“60% areas in the global scale). Therefore, the manner by which to eliminate thick cloud in remote sensing imagery is greatly significant and indispensable. In this study, we combine the deep spatio-temporal prior with low-rank tensor singular value decomposition (DP-LRTSVD) for thick cloud removal in multitemporal images. On the one hand, DP-LRTSVD utilizes the low-rank characteristic of multitemporal images via the third-order tensor SVD and completion. On the other hand, DP-LRTSVD employs the deep spatio-temporal feature expression ability by 3D convolutional neural network. The proposed framework can effectively eliminate thick cloud in multitemporal images through combining the model-driven and data-driven strategies. Moreover, DP-LRTSVD outperforms on thick cloud removal in the simulated and real multitemporal Sentinel-2/GF-1 experiments compared with model-driven or data-driven methods. In contrast with most methods that can only use a single reference image for thick cloud removal, the proposed method can simultaneously eliminate thick cloud in time-series images. Â© 2021 International Society for Photogrammetry and Remote Sensing, Inc. (ISPRS)",Article,,no,Sentinel-2 and Gaofen-1,Thick cloud removal,Others,combined deep prior with low-rank tensor svd for thick cloud removal in multitemporal images,Regression,yes,,,,,,,,,,,,,,,
J,"He, S; Zhou, RQ; Li, SH; Jiang, S; Jiang, WS",Disparity Estimation of High-Resolution Remote Sensing Images with Dual-Scale Matching Network,REMOTE SENSING,2021,high-resolution remote sensing images; disparity estimation; stereo matching; convolutional neural network; dual-scale matching,"As an essential task in remote sensing, disparity estimation of high-resolution stereo images is still confronted with intractable problems due to extremely complex scenes and dynamically changing disparities. Especially in areas containing texture-less regions, repetitive patterns, disparity discontinuities, and occlusions, stereo matching is difficult. Recently, convolutional neural networks have provided a new paradigm for disparity estimation, but it is difficult for current models to consider both accuracy and speed. This paper proposes a novel end-to-end network to overcome the aforementioned obstacles. The proposed network learns stereo matching at dual scales, in which the low one captures coarse-grained information while the high one captures fine-grained information, helpful for matching structures of different scales. Moreiver, we construct cost volumes from negative to positive values to make the network work well for both negative and nonnegative disparities since the disparity varies dramatically in remote sensing stereo images. A 3D encoder-decoder module formed by factorized 3D convolutions is introduced to adaptively learn cost aggregation, which is of high efficiency and able to alleviate the edge-fattening issue at disparity discontinuities and approximate the matching of occlusions. Besides, we use a refinement module that brings in shallow features as guidance to attain high-quality full-resolution disparity maps. The proposed network is compared with several typical models. Experimental results on a challenging dataset demonstrate that our network shows powerful learning and generalization abilities. It achieves convincing performance on both accuracy and efficiency, and improvements of stereo matching in these challenging areas are noteworthy.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,WorldView-3,Disparity estimation,Others,disparity estimation of high-resolution remote sensing images with dual-scale matching network,Regression,yes,,,,,,,,,,,,,,,
C,Wang D.; Bai Y.; Bai B.; Wu C.; Li Y.,Heterogeneous two-stream network with hierarchical feature Prefusion for multispectral pan-sharpening,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",2021,Heterogeneous network; Hierarchical feature prefusion; Pan-sharpening; Two-stream network,"Multispectral (MS) pan-sharpening aims at producing a high spatial resolution (HR) MS image by fusing a single-band HR panchromatic (PAN) image and a corresponding MS image with low spatial resolution. In this paper, we propose a heterogeneous two-stream network (HTSNet) with hierarchical feature prefusion for MS pan-sharpening. The HTSNet employs a heterogeneous group of spatial and spectral streams for spatial and spectral information extraction, respectively. The spatial stream utilizes a 2D CNN for spatial information extraction from the PAN images, and the spectral stream obtains spectral feature cubes from the MS images by a 3D CNN. At the same time, a prefusion module is introduced to prefuse the spatial details with spectral information and transfer information between different streams, which can enhance later processing. In the experiment, the Gaofen-2 satellite dataset is utilized to compare the proposed method with the state-of-the-art MS pan-sharpening methods. Experimental results demonstrate the superiority of our HTSNet in terms of visual effect and quantitative qualities.  Â©2021 IEEE.",Conference paper,,yes,Gaofen-2,Pan-sharpening,Others,heterogeneous two-stream network with hierarchical feature prefusion for multispectral pan-sharpening,Image enhancement,yes,,,,,,,,,,,,,,,
J,"Zhang, L; Liu, P; Wang, LZ; Liu, JB; Song, BZ; Zhang, YW; He, GJ; Zhang, H",Improved 1-km-Resolution Hourly Estimates of Aerosol Optical Depth Using Conditional Generative Adversarial Networks,REMOTE SENSING,2021,aerosol; conditional generative adversarial network; spatio-temporal estimation,"Aerosol Optical Depth (AOD) is a crucial parameter for various environmental and climate studies. Merging multi-sensor AOD products is an effective way to produce AOD products with more spatiotemporal integrity and accuracy. This study proposed a conditional generative adversarial network architecture (AeroCGAN) to improve the estimation of AOD. It first adopted MODIS Multiple Angle Implication of Atmospheric Correction (MAIAC) AOD data to training the initial model, and then transferred the trained model to Himawari data and obtained the estimation of 1-km-resolution, hourly Himawari AOD products. Specifically, the generator adopted an encoder-decoder network for preliminary resolution enhancement. In addition, a three-dimensional convolutional neural network (3D-CNN) was used for environment features extraction and connected to a residual network for improving accuracy. Meanwhile, the sampled data and environment data were designed as conditions of the generator. The spatial distribution feature comparison and quantitative evaluation over an area of the North China Plain during the year 2017 have shown that this approach can better model the distribution of spatial features of AOD data and improve the accuracy of estimation with the help of local environment patterns.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Himawari-7,Aerosol Optical Depth,Others,improved 1-km-resolution hourly estimates of aerosol optical depth using conditional generative adversarial networks,Regression,yes,,,,,,,,,,,,0.865,0.314,,Aerosol optical depth
J,"Kong, Fanqiang; Hu, Kedi; Li, Yunsong; Li, Dan; Zhao, Shunmin",Spectral-Spatial Feature Partitioned Extraction Based on CNN for Multispectral Image Compression,REMOTE SENSING,2021,spectral-spatial feature; multispectral image compression; partitioned extraction; group convolution; rate-distortion,"Recently, the rapid development of multispectral imaging technology has received great attention from many fields, which inevitably involves the image transmission and storage problem. To solve this issue, a novel end-to-end multispectral image compression method based on spectral-spatial feature partitioned extraction is proposed. The whole multispectral image compression framework is based on a convolutional neural network (CNN), whose innovation lies in the feature extraction module that is divided into two parallel parts, one is for spectral and the other is for spatial. Firstly, the spectral feature extraction module is used to extract spectral features independently, and the spatial feature extraction module is operated to obtain the separated spatial features. After feature extraction, the spectral and spatial features are fused element-by-element, followed by downsampling, which can reduce the size of the feature maps. Then, the data are converted to bit-stream through quantization and lossless entropy encoding. To make the data more compact, a rate-distortion optimizer is added to the network. The decoder is a relatively inverse process of the encoder. For comparison, the proposed method is tested along with JPEG2000, 3D-SPIHT and ResConv, another CNN-based algorithm on datasets from Landsat-8 and WorldView-3 satellites. The result shows the proposed algorithm outperforms other methods at the same bit rate.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,"Landsat-8, WorldView-3",Multispectral image compression,Others,spectral-spatial feature partitioned extraction based on cnn for multispectral image compression,Compression,yes,,,,,,,,,,,,,,,
C,Mohammadi S.; Belgiu M.; Stein A.,3D FULLY CONVOLUTIONAL NEURAL NETWORKS WITH INTERSECTION OVER UNION LOSS FOR CROP MAPPING FROM MULTI-TEMPORAL SATELLITE IMAGES,International Geoscience and Remote Sensing Symposium (IGARSS),2021,Crop mapping; deep learning; fully convolutional neural networks; time series,"Information on cultivated crops is relevant for a large number of food security studies. Different scientific efforts are dedicated to generate this information from remote sensing images by means of machine learning methods. Unfortunately, these methods do not take account of the spatial-temporal relationships inherent in remote sensing images. In our paper, we explore the capability of a 3D Fully Convolutional Neural Network (FCN) to map crop types from multi-temporal images. In addition, we propose the Intersection Over Union (IOU) loss function for increasing the overlap between the predicted classes and ground reference data. The proposed method was applied to identify soybean and corn from a study area situated in the US corn belt using multi-temporal Landsat images. The study shows that our method outperforms related methods, obtaining a Kappa coefficient of 91.8%. We conclude that using the IOU loss function provides a superior choice to learn individual crop types. Â© 2021 IEEE.",Conference paper,,yes,Landsat ARD,Crop mapping,Agriculture,3d fully convolutional neural networks with intersection over union loss for crop mapping from multi-temporal satellite images,Segmentation,yes,,,,,93.7,93.6,,91.8,,,,,,,
C,Meshkini K.; Bovolo F.; Bruzzone L.,AN UNSUPERVISED CHANGE DETECTION APPROACH FOR DENSE SATELLITE IMAGE TIME SERIES USING 3D CNN,International Geoscience and Remote Sensing Symposium (IGARSS),2021,3D convolutional neural network; Deep learning; High resolution image; Land cover change map; Satellite image time series,"Recent satellite missions have initiated a new era in the area of Satellite Image Time Series (SITS) analysis by providing a huge number of High Resolution (HR) spectral-temporal images. The availability of HR images opens a door to an unprecedented wide range of possibilities to produce and develop high resolution Land Cover (LC) and Land Cover Change (LCC) maps. The goal of this paper is to effectively use high spatio-temporal resolution images to generate LCC maps by defining a novel automatic and unsupervised deep learning method based on three-dimensional (3D) Convolutional Neural Network (CNN). The method extracts spatio-temporal information from long SITS by using a pre-trained 3D CNN, detects changes and locates them in space and time. Experiments have provided promising results over both Amazonia and Saudi Arabia in the period 2013-2017, and has been compared to the other well-known LCC detection method. Â© 2021 IEEE.",Conference paper,,yes,"Landsat-5, Landsat-7, Landsat-8",Land Cover Change Maps,Vegetation,an unsupervised change detection approach for dense satellite image time series using 3d cnn,Segmentation,no,,,,,,,,,,,,,,,
