Publication Type,Authors,Article Title,Source Title,Publication Year,Author Keywords,Abstract,Research Areas,Open Access,Satellite,Application,Domain,ML Technique,Algorithm Complexity,Accuracy (%),F1-score (%),Precision (%),Recall (%),Producer accuracy (%),User accuracy (%),Pixel accuracy,Kappa (%),IoU (%),MIoU (%),Dice (%),R-squared,RMSE,MAE,Parameter Description
C,A. Shakya; M. Biswas; M. Pal,CNN-Based Fusion and Classification of Multi-Temporal Sentinel-1 & -2 Satellite Data,2021 IEEE International India Geoscience and Remote Sensing Symposium (InGARSS),2021,Fusion;Classification;Convolutional Neural Network (CNN);Bayesian Optimization,SAR and optical data are widely used in image fusion to provide the complimentary information of each other and obtain the spatial and spectral features for improved classifications. This paper proposes to use multi-temporal data form Sentinel-1 (VV & VH polarization) and Sentinel-2 sensors for the fusion and classification over an agricultural area. Convolutional Neural Network (CNN)- based Pyramid method for fusion and Bayesian Optimized 2-D CNN for classification of fused multi-temporal data was used to extract spatial-spectral information. Results in terms of classification accuracy suggests slightly better performance by VV polarized fused images than the VH and also suggests an improved performance by multi-temporal data in comparison to the single date data over the study area.,,yes,Sentinel-2,Agricultural classification,Vegetation,Classification,yes,99.91,,,,,,,99,,,,,,,
J,"Shakya, A; Biswas, M; Pal, M",CNN-based fusion and classification of SAR and Optical data,INTERNATIONAL JOURNAL OF REMOTE SENSING,2020,,"Image fusion combines the images of different spectral, spatial, multi-date, as well as radiometric data to achieve a better quality image for improved classification results. Recently, Convolution Neural Network (CNN)-based classification algorithms are extensively used for remote sensing applications. Keeping this in view, present work proposes to use CNN-based fusion and classification of Sentinel 1 (VV and VH polarization) and Sentinel 2 datasets acquired over an agricultural area near Hisar (India). For image fusion, three CNN-based approaches are used to fuse Sentinel 2 (10 m) data with VV and VH bands of Sentinel 1 data. After fusion, classification was performed using 2D-CNN classifier to judge the performance of fused images in terms of classification accuracy. Results suggest that out of the three fusion approaches, only infrared image fusion (IVF) approach performed well with the considered dataset in terms of fusion indicators and classification accuracy. Keeping in view of its better performance, this study proposes a modified IVF approach by using different image pyramid methods. Comparison of results suggests an improved performance by modified IVF approach for the fusion of Sentinel 2 and Sentinel 1 data in comparison with the original IVF approach.",Remote Sensing; Imaging Science & Photographic Technology,no,Sentinel-2,Land cover classification,Vegetation,Classification,no,89.18,,,,,,,87,,,,,,,
J,"Sanchez, AMS; Gonzalez-Piqueras, J; de la Ossa, L; Calera, A",Convolutional Neural Networks for Agricultural Land Use Classification from Sentinel-2 Image Time Series,REMOTE SENSING,2022,deep learning; remote sensing; land use classification; sentinel; time series,"Land use classification (LUC) is the process of providing information on land cover and the types of human activity involved in land use. In this study, we perform agricultural LUC using sequences of multispectral reflectance Sentinel-2 images taken in 2018. LUC can be carried out using machine or deep learning techniques. Some existing models process data at the pixel level, performing LUC successfully with a reduced number of images. Part of the pixel information corresponds to multispectral temporal patterns that, despite not being especially complex, might remain undetected by models such as random forests or multilayer perceptrons. Thus, we propose to arrange pixel information as 2D yearly fingerprints so as to render such patterns explicit and make use of a CNN to model and capture them. The results show that our proposal reaches a 91% weighted accuracy in classifying pixels among 19 classes, outperforming random forest by 8%, or a specifically tuned multilayer perceptron by 4%. Furthermore, models were also used to perform a ternary classification in order to detect irrigated fields, reaching a 97% global accuracy. We can conclude that this is a promising operational tool for monitoring crops and water use over large areas.",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Agricultural land use classification,Agriculture,Classification,no,91,91,91,91,,,,,,,,,,,
J,Corbane C.; Syrris V.; Sabo F.; Politis P.; Melchiorri M.; Pesaresi M.; Soille P.; Kemper T.,Convolutional neural networks for global human settlements mapping from Sentinel-2 satellite imagery,Neural Computing and Applications,2021,Built-up areas; Convolutional neural networks; Human settlements; Image segmentation; Remote sensing,"Spatially consistent and up-to-date maps of human settlements are crucial for addressing policies related to urbanization and sustainability, especially in the era of an increasingly urbanized world. The availability of open and free Sentinel-2 data of the Copernicus Earth Observation program offers a new opportunity for wall-to-wall mapping of human settlements at a global scale. This paper presents a deep-learning-based framework for a fully automated extraction of built-up areas at a spatial resolution of 10 m from a global composite of Sentinel-2 imagery. A multi-neuro modeling methodology building on a simple Convolution Neural Networks architecture for pixel-wise image classification of built-up areas is developed. The core features of the proposed model are the image patch of size 5 × 5 pixels adequate for describing built-up areas from Sentinel-2 imagery and the lightweight topology with a total number of 1,448,578 trainable parameters and 4 2D convolutional layers and 2 flattened layers. The deployment of the model on the global Sentinel-2 image composite provides the most detailed and complete map reporting about built-up areas for reference year 2018. The validation of the results with an independent reference dataset of building footprints covering 277 sites across the world establishes the reliability of the built-up layer produced by the proposed framework and the model robustness. The results of this study contribute to cutting-edge research in the field of automated built-up areas mapping from remote sensing data and establish a new reference layer for the analysis of the spatial distribution of human settlements across the rural–urban continuum. © 2020, The Author(s).",,yes,Sentinel-2,Built-up area classification,Urban,Classification,yes,85,,,,,,,65,,,,,,,
J,"Kou, Wenqi; Shen, Zhanfeng; Liu, Diyou; Liu, Zhe; Li, Junli; Chang, Wanqiu; Wang, Haoyu; Huang, Lan; Jiao, Shuhui; Lei, Yating; Zhang, Chi",Crop classification methods and influencing factors of reusing historical samples based on 2D-CNN,INTERNATIONAL JOURNAL OF REMOTE SENSING,2023,reusing historical samples; crop classification; irregular satellite image time series; 2D-CNN; influencing factors,"Crop classification is a crucial task in agricultural remote sensing, with the accuracy of such classification heavily relies on field sampling. Reusing historical samples can minimize the reliance on annual field sampling for crop classification. Although previous research primarily focused on the classification accuracy based on the reused historical samples, the underlying factors that influence the accuracy have not been adequately investigated. In this study, we employed a two-dimensional convolutional neural network (2D-CNN) model for crop classification reusing historical samples and investigated the factors influencing the classification accuracy. First, we calculated a normalized difference vegetation index (NDVI) time series from historical data to characterize crop growth patterns. Secondly, we assessed three different time-series construction methods. Subsequently, we used the 2D-CNN model to automatically extract abstract features of crop growth patterns. Finally, we designed various strategies for reusing historical samples to explore the influencing factors. Experiments were conducted in Kuitun, Xinjiang Uygur Autonomous Region, China, from 2016 to 2020, employing a long time series of Sentinel-2 images as remote sensing data. Our results indicated that optimal 2D-CNN models using an irregular satellite image time series (irSITS) outperformed random forest models in inter-annual classifications (the overall accuracies for 2016-2020 were 0.78, 0.61, 0.89, 0.89, and 0.70, respectively). In addition, we identified that the primary factors affecting classification accuracy were 1) the time-series construction method used; 2) the crop growth patterns; and 3) the sample diversity. By reusing historical samples and considering the factors influencing classification accuracy, this study provides valuable insights into high-quality crop classification mapping under limited field sample conditions.",Remote Sensing; Imaging Science & Photographic Technology,no,Sentinel-2,Crop classification,Agriculture,Classification,no,77.4,,,,,,,,,,,,,,
J,"Kanwal, Rida; Rafaqat, Warda; Iqbal, Mansoor; Weiguo, Song",Data-Driven Approaches for Wildfire Mapping and Prediction Assessment Using a Convolutional Neural Network (CNN),REMOTE SENSING,2023,machine learning; wildfire assessment; CNN; random forest; fire occurrence,"As wildfires become increasingly perilous amidst Pakistan's expanding population and evolving environmental conditions, their global significance necessitates urgent attention and concerted efforts toward proactive measures and international cooperation. This research strives to comprehensively enhance wildfire prediction and management by implementing various measures to contribute to proactive mitigation in Pakistan. Additionally, the objective of this research was to acquire an extensive understanding of the factors that influence fire patterns in the country. For this purpose, we looked at the spatiotemporal patterns and causes of wildfires between 2000 and 2023 using descriptive analysis. The data analysis included a discussion on density-based clustering as well as the distribution of the data across four seasons over a period of six years. Factors that could indicate the probability of a fire occurrence such as weather conditions, terrain characteristics, and fuel availability encompass details about the soil, economy, and vegetation. We used a convolutional neural network (CNN) to extract features, and different machine learning (ML) techniques were implemented to obtain the best model for wildfire prediction. The majority of fires in the past six years have primarily occurred during the winter months in coastal locations. The occurrence of fires was accurately predicted by ML models such as random forest (RF), which outperformed competing models. Meanwhile, a CNN with 1D and 2D was used for more improvement in prediction by ML models. The accuracy increased from an 86.48 to 91.34 accuracy score by just using a CNN 1D. For more feature extraction, a CNN 2D was used on the same dataset, which led to state-of-the-art prediction results. A 96.91 accuracy score was achieved by further tuning the RF model on the total data. Data division by spatial and temporal changes was also used for the better prediction of fire, which can further be helpful for understanding the different prospects of wildfire. This research aims to advance wildfire prediction methodologies by leveraging ML techniques to explore the benefits and limitations of capturing complex patterns and relationships in large datasets. Policymakers, environmentalists, and scholars studying climate change can benefit greatly from the study's analytical approach, which may assist Pakistan in better managing and reducing wildfires.",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,CBERS-4A,Wildfire prediction,Geohazards,Classification,yes,96.56,96.95,95.24,,,,,,,,,,,,
J,"Hussain, Muhammad Afaq; Chen, Zhanlong; Zheng, Ying; Zhou, Yulong; Daud, Hamza",Deep Learning and Machine Learning Models for Landslide Susceptibility Mapping with Remote Sensing Data,REMOTE SENSING,2023,convolutional neural network; recurrent neural networks; landslide susceptibility mapping; extreme gradient boosting; random forest,"Karakoram Highway (KKH) is an international route connecting South Asia with Central Asia and China that holds socio-economic and strategic significance. However, KKH has extreme geological conditions that make it prone and vulnerable to natural disasters, primarily landslides, posing a threat to its routine activities. In this context, the study provides an updated inventory of landslides in the area with precisely measured slope deformation (Vslope), utilizing the SBAS-InSAR (small baseline subset interferometric synthetic aperture radar) and PS-InSAR (persistent scatterer interferometric synthetic aperture radar) technology. By processing Sentinel-1 data from June 2021 to June 2023, utilizing the InSAR technique, a total of 571 landslides were identified and classified based on government reports and field investigations. A total of 24 new prospective landslides were identified, and some existing landslides were redefined. This updated landslide inventory was then utilized to create a landslide susceptibility model, which investigated the link between landslide occurrences and the causal variables. Deep learning (DL) and machine learning (ML) models, including convolutional neural networks (CNN 2D), recurrent neural networks (RNNs), random forest (RF), and extreme gradient boosting (XGBoost), are employed. The inventory was split into 70% for training and 30% for testing the models, and fifteen landslide causative factors were used for the susceptibility mapping. To compare the accuracy of the models, the area under the curve (AUC) of the receiver operating characteristic (ROC) was used. The CNN 2D technique demonstrated superior performance in creating the landslide susceptibility map (LSM) for KKH. The enhanced LSM provides a prospective modeling approach for hazard prevention and serves as a conceptual reference for routine management of the KKH for risk assessment and mitigation.",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Landslide Susceptibility Mapping,Geohazards,Classification,no,,,83.61,,,,,,,,,,,,
J,"Li, Qianjing; Tian, Jia; Tian, Qingjiu",Deep Learning Application for Crop Classification via Multi-Temporal Remote Sensing Images,AGRICULTURE-BASEL,2023,crop type classification; deep learning; multi-temporal; remote sensing,"The combination of multi-temporal images and deep learning is an efficient way to obtain accurate crop distributions and so has drawn increasing attention. However, few studies have compared deep learning models with different architectures, so it remains unclear how a deep learning model should be selected for multi-temporal crop classification, and the best possible accuracy is. To address this issue, the present work compares and analyzes a crop classification application based on deep learning models and different time-series data to exploit the possibility of improving crop classification accuracy. Using Multi-temporal Sentinel-2 images as source data, time-series classification datasets are constructed based on vegetation indexes (VIs) and spectral stacking, respectively, following which we compare and evaluate the crop classification application based on time-series datasets and five deep learning architectures: (1) one-dimensional convolutional neural networks (1D-CNNs), (2) long short-term memory (LSTM), (3) two-dimensional-CNNs (2D-CNNs), (4) three-dimensional-CNNs (3D-CNNs), and (5) two-dimensional convolutional LSTM (ConvLSTM2D). The results show that the accuracy of both 1D-CNN (92.5%) and LSTM (93.25%) is higher than that of random forest (similar to 91%) when using a single temporal feature as input. The 2D-CNN model integrates temporal and spatial information and is slightly more accurate (94.76%), but fails to fully utilize its multi-spectral features. The accuracy of 1D-CNN and LSTM models integrated with temporal and multi-spectral features is 96.94% and 96.84%, respectively. However, neither model can extract spatial information. The accuracy of 3D-CNN and ConvLSTM2D models is 97.43% and 97.25%, respectively. The experimental results show limited accuracy for crop classification based on single temporal features, whereas the combination of temporal features with multi-spectral or spatial information significantly improves classification accuracy. The 3D-CNN and ConvLSTM2D models are thus the best deep learning architectures for multi-temporal crop classification. However, the ConvLSTM architecture combining recurrent neural networks and CNNs should be further developed for multi-temporal image crop classification.",Agriculture,yes,Sentinel-2,Crop classification,Agriculture,Classification,no,94.75,,,,,,,93.4,,,,,,,
J,"Chelali, M; Kurtz, C; Puissant, A; Vincent, N",Deep-STaR: Classification of image time series based on spatio-temporal representations,COMPUTER VISION AND IMAGE UNDERSTANDING,2021,Image time series; Spatio-temporal features; Planar image representation; Space filling curves; Random walk; CNN; Remote sensing,"Image time series (ITS) represent complex 3D (2D+t in practice) data that are now daily produced in various domains, from medical imaging to remote sensing. They contain rich spatio-temporal information allowing the observation of the evolution of a sensed scene over time. In this work, we focus on the classification task of ITS, as often available in remote sensing tasks. An underlying problem here is to consider jointly the spatial and the temporal dimensions of the data. We present Deep-STaR, a method to learn such features from ITS data to proceed to their classification. Instead of reasoning in the original 2D+t space, we investigate novel 2D planar data representations, containing both temporal and spatial information. Such representations are a novel way to structure the ITS, compatible with deep learning architectures. They are used to feed a convolutional neural network to learn spatio-temporal features with 2D convolutions, leading ultimately to classification decision. To enhance the explainability of the results, we also propose a post-hoc attention mechanism, enabled by this new approach, providing a semantic map giving some insights for the taken decision. Deep-STaR is evaluated on a remote sensing application, for the classification of agricultural crops from satellite ITS. The results highlight the benefice of this method, compared to the literature, and its interest to make easier the interpretation of ITS to understand spatio-temporal phenomena.",Computer Science; Engineering,no,Sentinel-2,Agricultural crops classification,Agriculture,Classification,yes,,,,,,,,,,,,,,,
J,"Aldabbagh, YAN; Shafri, HZM; Mansor, S; Ismail, MH","Desertification prediction with an integrated 3D convolutional neural network and cellular automata in Al-Muthanna, Iraq",ENVIRONMENTAL MONITORING AND ASSESSMENT,2022,Desertification prediction; Convolutional neural networks; Cellular automata; Al-Muthanna,"Desertification is a major environmental issue all over the world, and Al-Khidhir district, Al-Muthanna, in the south of Iraq is no exception. In mapping, assessing, and predicting desertification, remote sensing and geospatial solutions (spatial analysis, machine learning) are crucial. During 1998-2018, this study employed satellite images from Landsat TM, ETM +, and OLI to map and predict desertification in the Al-Khidhir district. The year 2028 was chosen as the target date. Prediction models were constructed using a 3D convolutional neural network (3D CNN) and cellular automata (CA) techniques. In addition to the historical land cover maps, the model incorporated desertification indicators identified as important in the study, including geology, soil type, distance from waterways, elevation, population density, and Normalized Difference Vegetation Index (NDVI). Several accuracy metrics were used to evaluate the models, including overall accuracy (OA), average accuracy (AA), and the Kappa index (K). The simulated and actual land cover maps from 1998 and 2008 were used to evaluate the desertification prediction models. The 3D CNN model outperforms the typical 2D CNN for both the 2008 and 2018 images, according to the results. For the 2008 image, the 3D CNN model achieved 89.675 OA, 69.946 AA, and 0.781 K, while the 2018 image achieved 91.494 OA, 75.138 AA, and 0.770 K. The 2D CNN model performed a little worse than the 3D CNN model. The results of the change assessment showed that between 1998 and 2008, agricultural land was the dominant class (39%, 47.4%, respectively). The bare land, however, was the most dominant class in 2018, accounting for 46.6% of the total, compared to 26.2% for agricultural land. The spatial distribution characteristics of desertification in the Al-Khidhir, in the year 1998, were prevalent in the area's south (25.9%). In the following 10 years, desertification has spread to the surrounding territories. In the year 2008, desertification increased in the north of the study area (50.8%). Unless the local administration of Al-Khidhir district establishes desertification control strategies, this study suggests that the extent of bare land could expand in 2028 (54.1%).",Environmental Sciences & Ecology,no,Landsat-7,Desertification prediction,Geohazards,Classification,no,89.32,,,,,,,76.9,,,,,,,
J,"Aldabbagh, YAN; Shafri, HZM; Mansor, S; Ismail, MH","Desertification prediction with an integrated 3D convolutional neural network and cellular automata in Al-Muthanna, Iraq",ENVIRONMENTAL MONITORING AND ASSESSMENT,2022,Desertification prediction; Convolutional neural networks; Cellular automata; Al-Muthanna,"Desertification is a major environmental issue all over the world, and Al-Khidhir district, Al-Muthanna, in the south of Iraq is no exception. In mapping, assessing, and predicting desertification, remote sensing and geospatial solutions (spatial analysis, machine learning) are crucial. During 1998-2018, this study employed satellite images from Landsat TM, ETM +, and OLI to map and predict desertification in the Al-Khidhir district. The year 2028 was chosen as the target date. Prediction models were constructed using a 3D convolutional neural network (3D CNN) and cellular automata (CA) techniques. In addition to the historical land cover maps, the model incorporated desertification indicators identified as important in the study, including geology, soil type, distance from waterways, elevation, population density, and Normalized Difference Vegetation Index (NDVI). Several accuracy metrics were used to evaluate the models, including overall accuracy (OA), average accuracy (AA), and the Kappa index (K). The simulated and actual land cover maps from 1998 and 2008 were used to evaluate the desertification prediction models. The 3D CNN model outperforms the typical 2D CNN for both the 2008 and 2018 images, according to the results. For the 2008 image, the 3D CNN model achieved 89.675 OA, 69.946 AA, and 0.781 K, while the 2018 image achieved 91.494 OA, 75.138 AA, and 0.770 K. The 2D CNN model performed a little worse than the 3D CNN model. The results of the change assessment showed that between 1998 and 2008, agricultural land was the dominant class (39%, 47.4%, respectively). The bare land, however, was the most dominant class in 2018, accounting for 46.6% of the total, compared to 26.2% for agricultural land. The spatial distribution characteristics of desertification in the Al-Khidhir, in the year 1998, were prevalent in the area's south (25.9%). In the following 10 years, desertification has spread to the surrounding territories. In the year 2008, desertification increased in the north of the study area (50.8%). Unless the local administration of Al-Khidhir district establishes desertification control strategies, this study suggests that the extent of bare land could expand in 2028 (54.1%).",Environmental Sciences & Ecology,no,Landsat-8,Desertification prediction,Geohazards,Classification,no,91.38,,,,,,,76.3,,,,,,,
C,Park S.; Park N.-W.,Effects of class purity of training data on crop classification using 2D-CNn,"40th Asian Conference on Remote Sensing, ACRS 2019: Progress of Remote Sensing Technology for Smart Future",2020,Deep learning; Patch-based classification; Training data,"Proper collection of training data is an important factor in supervised classification for crop mapping. Each pixel in remote sensing imagery represents an area with various characteristics of surface objects and may have different spectral values for the same crop type. This mixed pixel effect in training data may greatly affect classification results. Although much effort has been made for the proper selection of training data in pixel-based classification, few studies have been conducted in patch-based classification with deep learning. In this study, we analyze the effect of class purity within the patch of training data on a patch-based 2D convolutional neural network (2D-CNN) model for crop classification. The classification performance of 2D-CNN was evaluated from two case study areas with different spatial characteristics of crops and input images with different spatial resolutions. In the area which consists of crop parcels with similar shapes and uniform patterns, the classification accuracy could be improved by collecting training samples with high class purity in the high spatial resolution imagery. On the contrary, using training samples with lower class purity in crop classification with Landsat images led to the improvement in the classification accuracy in the classification of areas where crop parcels had various shapes and sizes. These experimental results indicate that training data in the patch-based crop classification should be selected by taking into account the characteristics of the area to be classified. © 2020 40th Asian Conference on Remote Sensing, ACRS 2019: ""Progress of Remote Sensing Technology for Smart Future"". All rights reserved.",,yes,Landsat-8,Crop classification,Agriculture,Classification,no,88,,,,,,,,,,,,,,
J,Park S.; Park N.-W.,Effects of class purity of training patch on classification performance of crop classification with convolutional neural network,Applied Sciences (Switzerland),2020,Class purity; Convolutional neural network; Patch-based classification; Training samples,"As the performance of supervised classification using convolutional neural networks (CNNs) are affected significantly by training patches, it is necessary to analyze the effects of the information content of training patches in patch-based classification. The objective of this study is to quantitatively investigate the effects of class purity of a training patch on performance of crop classification. Here, class purity that refers to a degree of compositional homogeneity of classes within a training patch is considered as a primary factor for the quantification of information conveyed by training patches. New quantitative indices for class homogeneity and variations of local class homogeneity over the study area are presented to characterize the spatial homogeneity of the study area. Crop classification using 2D-CNN was conducted in two regions (Anbandegi in Korea and Illinois in United States) with distinctive spatial distributions of crops and class homogeneity over the area to highlight the effect of class purity of a training patch. In the Anbandegi region with high class homogeneity, superior classification accuracy was obtained when using large size training patches with high class purity (7.1%p improvement in overall accuracy over classification with the smallest patch size and the lowest class purity). Training patches with high class purity could yield a better identification of homogenous crop parcels. In contrast, using small size training patches with low class purity yielded the highest classification accuracy in the Illinois region with low class homogeneity (19.8%p improvement in overall accuracy over classification with the largest patch size and the highest class purity). Training patches with low class purity could provide useful information for the identification of diverse crop parcels. The results indicate that training samples in patch-based classification should be selected based on the class purity that reflects the local class homogeneity of the study area. © 2020 by the authors.",,yes,Landsat-8,Crop classification,Agriculture,Classification,no,86.56,,,,,,,,,,,,,,
J,"Nguyen, Chi; Tan, Chang Wei; Daly, Edoardo; Pauwels, Valentijn R. N.",Efficient analysis of hydrological connectivity using 1D and 2D Convolutional Neural Networks,ADVANCES IN WATER RESOURCES,2023,Convolutional neural network; Functional connectivity; Potential connection length,"Understanding hydrological connectivity is essential to investigate ecological processes in river catchments and floodplains. Assessing flooding behavior, including flooded areas and connection times, is required to analyze hydrological connectivity in river floodplains. Deep learning, especially Convolutional Neural Networks (CNNs), is an attractive alternative to hydrodynamic modeling, which is more computationally expensive. This paper aims to develop a methodology to analyze the functional connectivity in remote and field measurement data-scarce areas using remote sensing data, CNN models, and connectivity metrics. The northern Lakes of the Narran River catchment, located in the Condamine-Balonne River floodplain in New South Wales, Australia, is the showcase for this method. One-dimensional CNN and two-dimensional U-Net configurations were applied and yielded comparable flood extents to the satellite images with Hit Rate values of 0.853 and 0.873, respectively. Two algorithms for determining hydrological connectivity were investigated, including the geostatistical Connectivity Function (CF) and the newly proposed Potential Connection Length (PCL). It was found that the connection along the main Narran River stream was more substantial than between the river and the floodplain lakes. The analysis using the PCL shows that the connectivity patterns in different stages of a flood event can vary depending on the initial condition of the floodplain. The overall conclusion from this work is that hydrological connectivity can be assessed computationally efficiently using only remote sensing, discharge data, and CNN models.",Water Resources,yes,Sentinel-2,Hydrological connectivity,Water,Classification,no,,,84.275,,,,,,,,,,,,
J,Moreno-Revelo M.Y.; Guachi-Guachi L.; Gómez-Mendoza J.B.; Revelo-Fuelagán J.; Peluffo-Ordóñez D.H.,Enhanced convolutional-neural-network architecture for crop classification,Applied Sciences (Switzerland),2021,Convolutional neural network (CNN); Crop classification; Post-processing; Satellite images,"Automatic crop identification and monitoring is a key element in enhancing food production processes as well as diminishing the related environmental impact. Although several efficient deep learning techniques have emerged in the field of multispectral imagery analysis, the crop classification problem still needs more accurate solutions. This work introduces a competitive methodology for crop classification from multispectral satellite imagery mainly using an enhanced 2D convolutional neural network (2D-CNN) designed at a smaller-scale architecture, as well as a novel post-processing step. The proposed methodology contains four steps: image stacking, patch extraction, classification model design (based on a 2D-CNN architecture), and post-processing. First, the images are stacked to increase the number of features. Second, the input images are split into patches and fed into the 2D-CNN model. Then, the 2D-CNN model is constructed within a small-scale framework, and properly trained to recognize 10 different types of crops. Finally, a post-processing step is performed in order to reduce the classification error caused by lower-spatial-resolution images. Experiments were carried over the so-named Campo Verde database, which consists of a set of satellite images captured by Landsat and Sentinel satellites from the municipality of Campo Verde, Brazil. In contrast to the maximum accuracy values reached by remarkable works reported in the literature (amounting to an overall accuracy of about 81%, a f1 score of 75.89%, and average accuracy of 73.35%), the proposed methodology achieves a competitive overall accuracy of 81.20%, a f1 score of 75.89%, and an average accuracy of 88.72% when classifying 10 different crops, while ensuring an adequate trade-off between the number of multiply-accumulate operations (MACs) and accuracy. Furthermore, given its ability to effectively classify patches from two image sequences, this methodology may result appealing for other real-world applications, such as the classification of urban materials. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,yes,Landsat-8,Crop classification,Agriculture,Classification,no,81.2,75.89,,,,,,,,,,,,,
C,Ding C.; Zhang X.; Ma S.; Han W.; Lu Y.; Yin J.,"Estuary water quality classification through deep learning image segmentation, an example of Hangzhou Bay","2021 9th International Conference on Agro-Geoinformatics, Agro-Geoinformatics 2021",2021,convolutional neural networks; image segmentation; Suspended sediment concentration; UNet,"Suspended sediment plays a dual role in the aquatic ecosystems. It serves an important part of the aquatic nutrient cycle but is also a pollutant in aquatic ecosystems. Traditional methods of measuring suspended sediment concentration (SSC) are mainly in-situ sampling and laboratory analysis. Through optical sensors carried by satellites or airplanes, large-scale SSC is possible to be acquired, which helps to improve our understanding of connections of source, sink and pathway. Although lots of efforts have been done in water quality modeling, methods utilized are mainly multi-layer perceptrons, machine learning algorithms or physio-chemical models, few tries on convolutional neural networks have been done. Here we take the Landsat image of Hangzhou Bay as an example. Based on the inversion algorithm the water quality classification is conducted through by 1D-CNN and 2D-UNet model. Best match between the band and reflectance of SSC received by the sensor are carefully selected as input. Both models prove feasible with convincing accuracy and precision, despite some discrepancies in details. Water quality classification could be furtherly completed if taking multi-index of water into account. © 2021 IEEE.",,yes,Landsat-8,Estuary water quality classification,Water,Classification,yes,91.38,,91.51,,,,,,,,97.16,,,,
J,"Sagan, V; Maimaitijiang, M; Bhadra, S; Maimaitiyiming, M; Brown, DR; Sidike, P; Fritschi, FB",Field-scale crop yield prediction using multi-temporal WorldView-3 and PlanetScope satellite data and deep learning,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2021,PlanetScope; WorldView-3; Deep learning; Convolutionneural network; ResNet; Artificial intelligence; Food security,"Agricultural management at field-scale is critical for improving yield to address global food security, as providing enough food for the world's growing population has become a wicked problem for both scientists and policy-makers. County- or regional-scale data do not provide meaningful information to farmers who are interested in field-scale yield forecasting for effective and timely field management. No studies directly utilized raw satellite imagery for field-scale yield prediction using deep learning. The objectives of this paper were twofold: (1) to develop a raw imagery-based deep learning approach for field-scale yield prediction, (2) investigate the contribution of in-season multitemporal imagery for grain yield prediction with hand-crafted features and WorldView-3 (WV) and PlanetScope (PS) imagery as the direct input, respectively. Four WV-3 and 25 PS imagery collected during the growing season of soybean were utilized. Both 2-dimensional (2D) and 3-dimensional (3D) convolution neural network (CNN) architectures were developed that integrated spectral, spatial, temporal information contained in the satellite data. For comparison, hundreds of carefully selected spectral, spatial, textural, and temporal features that are optimal for crop growth monitoring were extracted and fed into the same deep learning model. Our results demonstrated that (1) deep learning was able to predict yield directly using raw satellite imagery to the extent that was comparable to feature-fed deep learning approaches; (2) both 2D and 3D CNN models were able to explain nearly 90% variance in field-scale yield; (3) limited number of WV-3 outperformed multi-temporal PS data collected during entire growing season mainly attributed to RedEdge and SWIR bands available with WV-3; and (4) 3D CNN increased the prediction power of PS data compared to 2D CNN due to its ability to digest temporal features extracted from PS data.",Physical Geography; Geology; Remote Sensing; Imaging Science & Photographic Technology,no,"WorldView-3, PlanetScope",Crop yield prediction,Agriculture,Regression,yes,,,,,,,,,,,,,,,
J,"Shakya, A; Biswas, M; Pal, M",Fusion and classification of multi-temporal SAR and optical imagery using convolutional neural network,INTERNATIONAL JOURNAL OF IMAGE AND DATA FUSION,2022,Fusion; Convolutional Neural Network (CNN); Support Vector Machine (SVM); Bayesian Optimisation,"Remote sensing image classification is difficult, especially for agricultural crops with identical phenological growth periods. In this context, multi-sensor image fusion allows a comprehensive representation of biophysical and structural information. Recently, Convolutional Neural Network (CNN)-based methods are used for several applications due to their spatial-spectral interpretability. Hence, this study explores the potential of fused multi-temporal Sentinel 1 (S1) and Sentinel 2 (S2) images for Land Use/Land Cover classification over an agricultural area in India. For classification, Bayesian optimised 2D CNN-based DL and pixel-based SVM classifiers were used. For fusion, a CNN-based siamese network with Ratio-of-Laplacian pyramid method was used for the images acquired over the entire winter cropping period. This fusion strategy leads to better interpretability of results and also found that 2D CNN-based DL classifier performed well in terms of classification accuracy for both single-month (95.14% and 96.11%) as well as multi-temporal (99.87% and 99.91%) fusion in comparison to the SVM with classification accuracy for single-month (80.02% and 81.36%) and multi-temporal fusion (95.69% and 95.84%). Results indicate better performance by Vertical-Vertical polarised fused images than Vertical-Horizontal polarised fused images. Thus, implying the need to analyse classified images obtained by DL classifiers along with the classification accuracy.",Remote Sensing,no,Sentinel-2,Land-use and land-cover,Vegetation,Classification,yes,,,,,,,,,,,,,,,
